Mosque,Latitude,Longitude,Address,Address2,City,County,State,Zip,Number,Website,Primary Ethnicity,Preceded by,Incorporation Date,Opening Date,Relocation Date,Dissolution Date,OpenDate,CloseDate,Odate,Cdate,z,TimeOpen,Link ,AlbumID,LocationID,isHistoric,Founding Members,History,Description,Photos (exterior),Photos (interior),Photos (people),Video(s),Article(s)
Masjidun-Nur,42.40643,-83.0433,11311 Mound Road,,Detroit,Wayne County,MI,48212,(313) 892-5450,http://www.masjidunnur.org/,South Asian,,1977 (on Pilgrim in Highland Park),,,,1977,N/A,1977,2019,640,420,,,68,0,"Syed Anwar Miah, Oajib Ullah, Abdul M. Barlaskar, Mohammed Tahir Ali, Telal Ali, Mohammed M. Rahman, Alibur Rahman Shahid, Ahmed Rahman Choudrey, Shareef Abdul Aziz, Syed Abdul Monnan, Abdul Hye","This congregation was incorporated in 1977 in Highland Park, but also made use of a former gas station for prayers at this location on Mound Road in Detroit. Originally comprised of a diverse South Asian community, the mosque today is primarily of Bangladeshi origins. The mosque recently completed a new renovation and expansion.  Among the oldest congregations in Detroit, Masjidun-Nur anchors the ""Islamic Village"" that has now taken shape on the border of Hamtramck and Detroit.  Like its siter mosque in Highland Park, this congregation is associated with the Tablighi Jumaat movement.",,,,,,
Masjid Umar bin Khattab,43.2426,-82.9188,18105 Racho Road,,Brownstown,Sanilac County,MI,48192,,http://brownstown-masjid.com,,American Moslem Society,1994,,,,1994,N/A,1994,2019,810,250,,72157606453736864,69,0,,,,,,,,
Masjid Uthman bin affan,42.45302,-83.0637,21380 Ryan Road,,Warren,Macomb County,MI,48091,,http://uthmanbinaffan.weebly.com/index.html,,Baitul Islah,,,,,,N/A,,2019,,,,,70,0,,,,,,,,
Masjid Wali Muhammad,42.3816,-83.1145,11529 Linwood Avenue,,Detroit,Wayne County,MI,48206,(313) 868-2131,,African American,,1954,1957 (from Black Bottom),,,1954,N/A,1954,2019,410,650,,72157606457406953,71,0,"Lemuel J. Hassan, Harold D. Gaines, Charles D. Oliver","Masjid Wali Muhammad is home to the first and oldest African American Muslim congregation. Although located in its current facility on Linwood Avenue since 1954, its first home was on Hastings Street, in Detroit’s “Black Bottom.” It was there that the Nation of Islam was founded by W.D. Fard and led by the Honorable Elijah Muhammad in the early 1930s. The congregation’s name changed from Muhammad’s Temple No. 1 to Masjid Wali Muhammad in 1978, when the Honorable Warith Deen Muhammad led the former Nation of Islam into Sunni Islam. Masjid Wali Muhammad was rededicated as a mosque open for the five daily prayers, with a conventional prayer space (without chairs) oriented toward Mecca.","Masjid Wali Muhammad is located on the upper level of a two-story building which was originally a Jewish community center. The lower level holds a large kitchen, a computer room, and a spacious meeting/dining room. The masjid is active in the community, holding weekly fundraisers and sponsoring a local soup kitchen. The mosque is attended by a largely African American, native-born congregation and is affiliated with the national leadership of Imam Warith Deen Mohammad. Gary al-Kasib is the mosque’s current imam.",,,,,
Michigan Islamic Center of U.S.A.,42.47121,-83.0744,24134 Warner,,Warren,Macomb County,,48091,,,,,2009,2009,,2012,2009,2012,2009,2012,960,30,,,72,0,"Mujibur Rahman, Kabir Ahmed, Monzur K. Shafi, Gulam Y. Chowdhury",,,,,,,
"Mohammadia Madrasha, Inc.",42.41068,-83.053,4514 Garvin Street,,Detroit,Wayne County,MI,48212,(313) 369-0677,www.madrasha.org,South Asian,,,,,,,N/A,,2019,,,,,73,0,,A Quranic school in Detroit.  Managed by South Asians.  Open to all Muslims.,,,,,,
Moorish Science Temple (#25),42.35201,-83.0972,5601 Grand River Blvd.,,Detroit,Wayne County,MI,48208,,,,,,,,,,N/A,,2019,,,,72157606454341614,74,0,,,,,,,,
Muhammad's Mosque,42.4029,-82.9393,16335 E. Warren Avenue,,Detroit,Wayne County,MI,48224,,,,,,,,,,N/A,,2019,,,,72157606454454144,75,0,,,,,,,,
Muhammad's Mosque #1,42.39919,-83.1592,14880 Wyoming Street,,Detroit,Wayne County,MI,48238,,,,,1984,,,,1984,N/A,1984,2019,710,350,,72157606457978313,76,0,"Nathan Muhammad, David Faison, and Thomas Williams","This mosque was incorporated with the State in 1984 by Nathan Muhammad, David Faison and Thomas Williams.  It is associated with the Nation of Islam.",,,,,,
Muslim Center of Detroit,42.397,-83.1112,1605 Davison West,,Detroit,Wayne County,MI,48238,(313) 883-3330,https://muslimcenterdetroit.com/,African American,Masjid Wali Muhammed,1984,,,,1984,N/A,1984,2019,710,350,,72157606482285772,77,0,,"While the Muslim Center of Detroit traces its immediate history to the establishment in 1985 of the Muslim American Society by Imam Warith Deen Muhammad, the community’s history extends ultimately to the 1930s, when the Nation of Islam was first established in Detroit by Warith Deen’s father, Elijah Muhammad. The mosque is located on Davison Avenue in Detroit, in an old stone building that was once a bank. The mosque underwent significant expansion and renovation in 2005.","The Muslim Center’s new facility includes a large prayer hall, a gym, a social hall, classrooms, a kitchen, and administrative offices. Located in a poor urban neighborhood, the Center has an activeda`wa (missions) board that provides a wide array of services to local families and youth, including counseling, job training, a soup kitchen, and substance abuse programs. Working with New Detroit, Inc., the Muslim Center also provides a summer camp and athletic programs for local young people. Led by Imam Derrick Ali, the center is also active in interfaith work and hosts an annual interfaith Thanksgiving dinner. With a largely African American and African immigrant congregation, the Center is open to all believers and is especially adept at making visitors feel welcome.",,,,,
Muslim Community Center of Detroit,42.41685,-83.1816,13720 W. McNichols Road,,Detroit,Wayne County,MI,48235,,,African,,2008,,,,2008,N/A,2008,2019,950,110,,72157606486177129,78,0,,"Dedicated in August 2008.  The congregation is primarily, but not exclusively, from Nigeria.",,,,,,
Muslim Community Mosque (Islamic Cultural Association),42.49961,-83.4005,35700 W. 12 Mile Rd. ,,Franklin,Oakland County,,48331,,http://ica-mi.org/,Syrian,,,,,,,N/A,,2019,,,,,79,0,,,,,,,,
Muslim Community of Macomb (Baitul M`amur),42.5781,-83.069,38810 Ryan Road,,Sterling Heights,Macomb County,,48310,(313) 910 – 4817,http://www.muslimcommunitymacomb.org/,,,2010,,,,2010,N/A,2010,2019,970,90,,,80,0,"Abdul Matic, Koysor Jaigirdar, Jamshed Choudhury, Mohammed Murshed Ahmed, Saiful H. Ali",,,,,,,
Muhammadi Islamic Center,42.24972,-83.177,2075 Fort Street,Suite 102,Lincoln Park,Wayne County,MI,48146,(734) 564-1650,http://www.lpmic.com/,,,"June, 2015","June, 2015",,,June 2015,N/A,2015,2019,1020,40,,,81,0,Adnan H. Hanif,,,,,,,
Muhammadi Masjid and Madrasha,42.4111,-83.0526,4541 Garvin Street,,Detroit,Wayne County,MI,48212,(313) 377-9245,http://www.madrasha.org/,Bangladeshi,,,2008,,,2008,N/A,2008,2019,950,110,,,82,0,Meer Hossain,,"The Quran Learning Center (Muhammadia Madrasha) is a mosque and schools founded in 2002. Located in Detroit on the outskirts of Hamtramck, this center serves one of the largest and most diverse Muslim communities in Michigan. The Quran Learning Center is open for all five daily prayers and provides Qur`an, Tajweed, and Islamic studies programs after school and on weekends. The center also provides  summer intensive courses and support for new Muslims. ",,,,,
Muslim Community of the Western Suburbs,42.29499,-83.4392,40440 Palmer,,Canton,Wayne County,MI,48188,(734) 729-1000,http://www.mcws.org,,,1988,,,,1988,N/A,1988,2019,750,310,,72157606578087416,83,0,,,,,,,,
Muslim Men in Fellowship Unity,42.42385,-83.1022,17935 John R Street,,Highland Park,Wayne County,MI,48203,,,,,,,,,,N/A,,2019,,,,,84,0,,,,,,,,
Muslim Unity Center,42.60502,-83.3158,1830 W. Square Lake Road,,Bloomfield Hills,Oakland County,MI,48302,(248) 857-9200,http://www.muslimunitycenter.org/,,,1993,,,,1993,N/A,1993,2019,800,260,,72157606546495841,85,0,,,,,,,,
The Qur'an and Sunnah Society,42.44043,-83.0241,19800 Van Dyke,,Detroit,Wayne County,MI,48234,(313) 893-3763,http://www.qss.org/,,,,,,,,N/A,,2019,,,,,86,0,,,,,,,,
Tawheed Center,42.46994,-83.3408,29707 W. 10 Mile Road,,Farmington Hills,Oakland County,MI,48336,(248) 426-7360,http://www.tawheedcenter.org,,Muslim Community Center,1993,,,,1993,N/A,1993,2019,800,260,,72157606555469302,87,0,,,,,,,,
Tijani Zawiya,42.36948,-83.007,3777 Parker Street,,Detroit,Wayne County,MI,48214,,,,Masjid Al-Salam,2001,,,,2001,N/A,2001,2019,880,180,,72157606555439670,88,0,,,,,,,,
United Masjid Council of Michigan,42.39969,-83.0607,2733 Caniff,,Hamtramck,Wayne County,,48212,,,,,2005,,,,2005,N/A,2005,2019,920,140,,,89,0,"Muhammad Muyeen Uddin, M. Abdul Latif Azom, Moynul Islam, Hafiz Rayhan Uddin, AbuSayed Mahfuz, Abdul Motlib",,,,,,,
University Islamic Center of Detroit,42.3534,-83.065,4646 Cass Avenue,,Detroit,Wayne County,MI,48201,(313) 831-9222,,Mixed,,1979,,,,1979,N/A,1979,2019,660,400,,72157606558938977,90,0,"Mohamed Abdel-Wahab, Zeinab Abdel-Wahab, Wayel Zenalabidin, Malik Salaam, Syiedal Salaam, Adam Shakoor, Jamil Kettan, Ayesha Muhammad","This group first incorporated in 1979 as Universal Moslems, Inc.  Their founding members are notably from a variety of ethnic backgrounds, including Mohamed Abdel-Wahab, Zeinab Abdel-Wahab, Wayel Zenalabidin, Malik Salaam, Syiedal Salaam, Adam Shakoor, Jamil Kettan, Ayesha Muhammad.  They completed a major renovation and doubling of their square footage in 2005.  This mosques serves the Wayne State University community and attracts many worshipers from downtown Detroit as well.",,,,,,
Windsor Islamic Association and Mosque,27.76271,-98.0584,1320 Northwood Street,,"Windsor, ON",Jim Wells County,Canada,N9E 1A4,(519) 966-2355,http://www.wiao.org,,,,,,,,N/A,,2019,,,,,91,0,,,,,,,,
Zainabia Center,42.54599,-83.4566,2230 Crumb Road,,Walled Lake,Oakland County,MI,48390,(248) 669-5740,,,,2007,,,,2007,N/A,2007,2019,940,120,,72157606558604549,92,0,,Ahlebait Association of Michigan.  The new masjid was dedicated in 2007.  ,,,,,,
"Ahmadiyyah Islamic Center (Historic, 1952)",42.38762,-83.0994,1241 Burlingame,,Detroit,Wayne County,MI,48202,,,,,1952,,,,1952,N/A,1952,2019,390,670,,,93,1,,"Home of Dr. M. Yusuf Khan, missionary to US, 1952.  Referenced as ""Islamic Center"" in Detroit News article.",,,,,,
"Ahmadiyyah Mission (Historic, 1921)",42.40304,-83.1068,27 Labelle Street,,Highland Park,Wayne County,MI,48203,,,,,1921,,,,1921,N/A,1921,2019,80,980,,,94,1,,"Mufti Mohammed Saddiq was given a large apartment by October 1921, in this apartment building owned by Mohammed Karoub.  Mufti Saddiq used this apartment as a Ahmadiyyah Mission for 6 months before his conflict with the Karoub brothers led him to establish his better known mission in Chicago.",,,,,,
"Ahmadiyya Mission (Historic, 1953)",42.33564,-83.0573,2151 Grand Blvd.,,Detroit,Wayne County,MI,48208,,,,,,,,,,N/A,,2019,,,,,95,1,Syed Jawad Ali,Ahmadiyya Movement in Islam circa 1949-1950's.  This mission was headed by Syed Jawad Ali who arrived in America in 1949.  This was one of only five Mosques that the Ahmadiyyah had active in 1953.,,,,,,
"Ahmadiyyah Moslem Mission (Historic, 1933)",42.3658,-83.0624,537 Hendrie Street,,Detroit,Wayne County,MI,48202,,,,,1933,,,,1933,N/A,1933,2019,200,860,,,96,1,,"The Ahmadiyyah established a mission here in 1933.  Previously, they worked out of several locations on Victor and LaBelle in Highland Park.  Note the proximity of this location to Paradise Valley.",,,,,,
"Al-Aqabah Islamic Community Center (Historic, 2011)",42.40941,-83.0659,12818 Joseph Campau,,Detroit,Wayne County,MI,48212,,,,,2009,2011,,,2009,N/A,2009,2019,960,100,,,97,1,,Community formed in December 2009.  Masjid Al-'Aqabah opened in March 2011.,,,,,,
"Albanian American Moslem Society (Historic, 1950's)",44.84418,-85.6605,,,,,MI,,,,,,1949,1950,1963 (See Albanian Islamic Center),1959 (See Albanian Islamic Center),1949,1959,1949,1959,360,100,,,98,1,,"Hamilton and Calvert (1949-1959).  The group sold this building in 1959, worshipped at the American Moslem Society for a year or so, and then eventually opened the Albanian Islamic Center in Harper Woods in 1961.",,https://www.flickr.com/photos/biid/20034065816/in/album-72157605999298753/,,,,https://www.flickr.com/photos/biid/20060366165/in/album-72157605999298753/
"Allah Temple of Islam (Historic, 1932)",42.35726,-83.0609,283 E. Hancock,,Detroit,Wayne County,MI,48201,,,,,1932,,,,1932,N/A,1932,2019,190,870,,,99,1,Fard Muhammad,"According to Karl Evanzz (82), this is where Fard Muhammad had his first ""mosque"" in 1932 and where he renamed Elijah Poole, Elijah Karriem, and announced he would become ""supreme minister"" of the Allah Temple of Islam.",,,,,,
"Al-Mumineen Mosque/Virginia Park (Historic, 1947)",42.37116,-83.0921,1554 Virginia Park Avenue,,Detroit,Wayne County,MI,48206,,,African American,,1947,,1978,1981,1947,1981,1947,1981,340,340,,,100,1,Hajj Ismael Sammsan,"This mosque was first established as the Universal Muslim Brotherhood of Al-Islam in America in 1947 by Hajj Ismael Sammsan.  In 1952 it was incorporated with the State of Michigan as the Jajj Sammsan Abdullah Mosque (Islamic Mission).  This was the first documented African American mosque in Detroit.  The congregation was Sunni Muslim, and not affiliated in any way with the Nation of Islam orthe Ahmadiyah.  In 1966, it changed its name to the Mumineen Mosque, or Masjid al-Mamineen.  Othman Hassanein was the chairperson of the mosque for many years, through the 1970's.  Hassanein and Hussein Karoub (and later Mike Karoub) studied the Quran together and somties exchanged pulpits.  This mosque was also frequented by Tablighi Jumaat missionaries form the 50's-70's.  When Hassanein died in the late 70's, his son-in-law, Imam Khalid, took over as leader.  Eventually it moved to a location on McNichols and the house was torn down.",,,,,,
"Al-Mumineen Mosque (Historic, 1980's)",42.41566,-83.2001,15535 W. McNichols Road,,Detroit,Wayne County,MI,48235,,,,,1980's,1980/1981,,1981,1980,1981,1980,1981,670,10,,,101,1,Othman Hassanein,"The Al-Mumineen congregation moved to this located at McNichols in 1980 or 81 from their long standing location at 1554 Virginia Park Avenue, after the death of Othman Hassanein.  The congregation remained at this address through the mid 80's under the leadership of Seli Khalid.  Some members of this group eventually merged with Masjid al-Nur.",,,,,,
"American Islamic Institute (Historic, 1979)",42.62308,-83.3591,3642 Karen Pkwy,,Waterford,Oakland County,MI,48328,,,,,1979,,,1990,1979,1990,1979,1990,660,110,,,102,1,Nihad Hamed,"This group incorporated in February of 1979. The address provided is that of the group's founder, Nihad Hamed.  The incorporating members were all former leaders of the American Moslem Society in Dearborn.  They had recently lost control of the AMS, the mosque their families had founded, in a bitter lawsuit and this Institute represents the group's first effort to reincorporate and start again.  Imam Mohammed Karoub, Robert Simons, Fatme Boumrad, Aida Karoub, Fadwa Alsaid, Selma Hegasi, Julia Jabara, and Kel Jabara's names are those provided.  Their articles of incorporation are many.  Among them is an emphasis on the education of the American public about Islam, the education of the American-born Muslims, and the goal of building, leasing, or constructing a ""mosque"".  It isunclear how long this Institute survived.  Many of their members reorganized in 1981 as the American Moselm Bekaa Center (see above), which opened in Dearborn in 1982.",,,,,,
"American Islamic League of Bekaa (Historic, 1979)",42.34416,-83.1647,10605 West Warren,,Dearborn,Wayne County,MI,48126,,,,,1979,,,1981,1979,1981,1979,1981,660,20,,,103,1,,"This group was established in June of 1979, shortly after its founders lost a legal battle filed against the new leadership of the Merican Moslem Society, established a generation earlier by these same men and their families.  The AMS is the oldest mosque currently active in Michigan.  The group changed their name to the American Muslim Bekaa Center and opened a facility on Chase Road in Dearborn in 1982.  This mosque is still active.  Mike AlcodrayAbdel Majid KadryAli SiajeMounir Jouma when the group first changed their name in 1981 Hussein El-Hage's name is also listed in the paperwork.",,,,,,
"American Muslim Mission Islamic Center (Historic, 1984)",42.34702,-83.0602,2940 Mt. Elliot,,Detroit,Wayne County,MI,48211,,,,,1984,,,1990,1984,1990,1984,1990,710,60,,,104,1,"Abdul Raheem Rashed, Wali Deen Muhammad, and Harold Rahim","Established in 1984 by Abdul Raheem Rashed, Wali Deen Muhammad, and Harold Rahim, it is unclear how long this group was active.",,,,,,
"American Society of Muslims Masjid of Detroit (Historic, early 2000's)",42.36442,-83.245,20823 West Chicago Street,,Detroit,Wayne County,MI,48202,,,,,2004,,,2010,2004,2010,2004,2010,910,60,,,105,1,,"Masjid Al-Saliheen, active as of 2004.",,,,,,
"Assira Jadeed Society (Historic, 1940's)",42.30771,-83.1487,2809 Salina,,Dearborn,Wayne County,MI,48120,,,,,1940's,,,1950,1940,1950,1940,1950,270,100,,,106,1,,"The New Generation Society is listed in Dearborn City Directories at this address in the 1940's.  It is not known if this society was religious in orientation, but the name resembles that of the Islamic association that established the first mosque in Cedar Rapids in teh 1930's.",,,,,,
,42.33426,-83.0407,574 E. Lafayette Avenue,,Detroit,Wayne County,MI,48226,,,,,,,,,,N/A,,2019,,,,,107,1,,"This is where Muslims met during the early years of the Great Depression and tried to scrape together work, meals, and the means to keep themselves going during the lean years.  In 1932, the Free Press ran a series of stories that mentioned Muslims requesting a soup kitchen to feed the 4000 or so men who were without support.  They were barred from eating at other kitchens because the food was regularly seasoned with lard.  One article mentions that the men were from Albania, India, Afghanistan, Arabia, and Turkey.",,,,,,
"Detroit Mosque (Historic, 1945-50)",42.34702,-83.0602,14075 Dequindre,,Detroit,Wayne County,MI,48212,,,,,1945,,,1950,1945,1950,1945,1950,320,50,,,108,1,,"MIA small congregation of black Muslims met at this location from 1945-1950, roughly.  This is the location where Satohata Takahashi is said to have led a congregation.",,,,,,
"Hindoo Hall (Historic, 1930's-50's)",42.35632,-83.0518,1003 Hastings Street,,Detroit,Wayne County,MI,48211,,,,,1930's,,,1950's,1930,1950,1930,1950,170,200,,,109,1,,"This coffee shop is where Indians and Afghanis met for prayers, especially holiday prayers in the 1930's.  Later known as the India Club, the New India Club, and the India-Pakistan Club.  Moved to Gratiot and Grand Blvd in the late 50's when Hastings was plowed under in the name of urban renewal.",,,,,,
Communaute Islamique Africaine: La Paix de Michigan Masjid,42.44193,-83.2597,20555 Lahser Rd.,#3,Detroit,Wayne County,MI,48219,,,,,2001,,,2004,2001,2004,2001,2004,880,30,,,110,1,"Souleymane Doukoure, Aboubaker S. Kone, Kone Amana",,,,,,,
"India Pakistan Club (Historic, 1950's-70's)",,,E. Grand and Gratiot,,Detroit,Wayne County,MI,,,,,,1950's,,,1970's,1950,1970,1950,1970,370,200,,,111,1,,"The India Pakistan Club moved to this location from Lafayette and Hastings in the late 1950's as the Hastings area was demolished for urban renewal.  Fizzled out in the mid 70's when the young people lost interest, mostly due to interactions between the American born and new immigrants.",,,,,,
"Islamic Center of America (Historic, 1963-2005)",42.35714,-83.1991,15571 Joy Road,,Detroit,Wayne County,MI,48228,,,,,1963,,2005,2005,1963,2005,1963,2005,500,420,,,112,1,,"Dedicated September 20, 1963 as the Islami Center of Detroit.  Opened new facility on Ford Road in Dearborn in 2005.  This historic mosque is now home to the al-Zahraa Islamic Center.",,,,,,
"Islamic Institute of Knowledge (Historic, 1983-1998)",42.34388,-83.1756,13500 W. Warren Avenue,,Dearborn,Wayne County,MI,48126,,,,,1982,,1998,1998,1982,1998,1982,1998,690,160,,,113,1,Sheikh Abdul Latif Berry,"The Islamic Institute of Knowledge was incorporated with the State of Michigan in 1982, with Sheikh Abdul Latif Berry as their spirtual leader.  They opened their doors at this location, a former bank, in 1983 and remained here until moving to their new location on Shaefer Road in 1998.  The congregation is primarily from South Lebanon, and it grew tremendously during the Leanese civil war when large numbers of Lebanese citizens sought refuge with friends and family in Detroit.  Today this congregation anchors, along with the Islamic Center of American, the Shia population of Dearborn and its surrounding communities.",,,,,,
"Jamiyatul Nasrul Ilm (Historic, 1990's)",42.38683,-83.0734,9309 Oakland,,Detroit,Wayne County,MI,48211,,,,,1990,,,1998,1990,1998,1990,1998,770,80,,,114,1,,Grew out of the Masjid As-Salaam Orthodox Islamic Movement.  Was active from 1990-1998.,,,,,,
"Kalil Bazzy home (Historic, 1913)",42.40263,-83.1076,199 Labelle Street,,Highland Park,Wayne County,MI,48124,,,,,1913,,,1930,1913,1930,1913,1930,0,170,,,115,1,,This is where Shaykh Kalil Bazzy lived when he first arrived in the U.S. in 1913.  The home was owned or rented by this older borhter and sister-in-law.  Bazzy lived here for several years beffore his family returned to Lebanon.  At that point he moved to Lafayette Street in Detroit.,,,,,,
"Karoub House (Historic, 1921)",42.4071,-83.0955,74 Victor Avenue,,Highland Park,Wayne County,MI,48203,,,,,1921,,,1980,1921,1980,1921,1980,80,590,,,116,1,,"In 1921 this location, most likely the home of Mohammed Karoub, was used to create the first Muslim publishing company in Detroit.  Karoub Printing, later moved to Woodward Avenue, but in the early 20's it was located here.  The first two issues of the Moslem Sunrise, the newsletter of the Ahmadiyyah Mission to the U.S., were written by Mufti Mohammed Saddiq and published by the Karoub brothers, Hussein and Mohammd, at this address.  Hussein Karoub, Imam to the Muslim communities fo Detroit from 1913 - the 1970's, also published several Arabic language newspapers throughout his life and career.",,,,,,
"Lebanese Islamic Association of Michigan (Historic, 1988)",42.34426,-83.1864,7250 Chase,,Dearborn,Wayne County,MI,48126,,,,,1988,,,1990,1988,1990,1988,1990,750,20,,,117,1,Hassan Al-Habhab,"Incorporated by Hassan Al-Habhab with the State in 1988, this group began renovating a new facility at this address, but did not last very long.  Today, this address is home to the Byblos Banquet Hal which has no association with the former residents.",,,,,,
"Masjid al-Asr (Historic, 1977)",42.37433,-83.1209,9819 Dexter Blvd.,,Detroit,Wayne County,MI,48206,,,,,1977,,,1985,1977,1985,1977,1985,640,80,,,118,1,"Musa Abdul Mujib, Muhammad Saber, Dwight Hawkins, Yusuf Hakim, and Shukri Abdul Karim","This was an offshoot of Masjid As-Salaam Orthodox Islamic Movement, which united with the Dar-ul Islam Movement and incorporated in 1977 as Ikhwanul Muslimun and established Masjid al-Asr, initially at 8962 Mackinaw, Detroit.  The incorporating members were named Musa Abdul Mujib, Muhammad Saber, Dwight Hawkins, Yusuf Hakim, and Shukri Abdul Karim.  Masjid al-Haqq can also trace its origins to this congregation",,,,,,
"Masjid al-Haqq (Historic, 1981-2009)",42.3689,-83.1217,4118 Joy Road,,Detroit,Wayne County,MI,48204,,,,,1981,,,,1981,N/A,1981,2019,680,380,,,119,1,Imam Luqman Abdullah,"This small congregation has had financial difficulties in recent years and was foreclosed on by the city in 2009.  It reopened that same year at 4017 Clairmount Street.  Originally led by Imam Luqman Abdullah, who was shot and killed by the FBI in 2009, the group is now led by his son.",,,,,,
Masjid Al Haqq,42.36827,-83.1197,4017 Clairmount,,Detroit,Wayne County,,48204,,,African American,,1986,,,2013,1986,2013,1986,2013,730,270,,,120,1,"Imam Luqman Abdullah, Sharif A. Muhammad, David Adams",,,,,,,
"Masjid As-Salaam Orthodox Islamic Movement (Historic, 1969-1980)",42.3946,-83.1011,12537 Hamilton,,Highland Park,Wayne County,MI,48203,,,,,1969,,,1980,1969,1980,1969,1980,560,110,,,121,1,,"This group incorporated with the state in 1971, but began meeting in 1969 or thereabouts.  As members began to accept different ideologies in the late 1970's and 80's, this gave rise to several new mosque communities including Asr Mosque (Masjid al-Asr), Masjidun Nur (Masjid An-Nur), Jamiyatul Nasrul Ilm and the Tijani Zawiya.  Though the masjid ceased operation in the 1980's, the organization is still incorporated and active.",,,,,,
"Masjid As-Salam (Historic, 2000's)",42.42942,-83.2515,21230 W. 7 Mile Road,,Detroit,Wayne County,MI,48219,(586) 945-6855,,African,,,,2008,,,N/A,,2019,,,,,122,1,,This West African congregation moved to 21628 Fenkell in 2008.,,,,,,
"Masjid Al-Iklas (Historic, 1988-2004)",42.40306,-82.9377,16412 E. Warren Avenue,,Detroit,Wayne County,MI,48224,,,,,1995,,,2005,1995,2005,1995,2005,820,100,,72157606454092453,123,1,"Shahied Hanif, Gary Al-Kasib, Abdullah Lahab, Nadir S. Ahmed",,,,,,,
"Masjid John Hasan (Historic, 1979-1984)",44.84418,-85.6605,,,,,MI,,,,,,1979,,,1984,1979,1984,1979,1984,660,50,,,124,1,Talib Karim,"Talib Karim, the ""resident imam"" of this mosque hosted a dedication ceremony and banquet at the mosque in Highland Park on January 27, 1979 (Muslim STAR 2/79), providing prayers and a tour of the new facility.  The precise address is not known, but this group was affiliated with the World Community of Al-Islam in the West, the ministry of Imam Warith Deen Mohammad.  It is likely to have been converted from a former NOI Temple.  This congregation seems to have joined the Muslim Center of Detroit when it incorporated in 1984.",,,,,,
Masjid Oak Park (Historic),42.45048,-83.199,15425 Miller Street,,Oak Park,Oakland County,MI,48237,,,,,,,,2005,,2005,,2005,,,,,125,1,,This masjid was formed by a group of neighbors who realized they were renting space in the same apartment complex.  A super gave them permission to clear out an unused basement for religious services and the space became known to other Muslims who lived and worked near the facility.  They closed in 2005 after other mosque facilities became available nearby.,,,,,,
Masjid Saaliheen (Historic),42.46529,-82.9473,22726 Rein Street,,Eastpointe,Macomb County,MI,48234,,,,,2000,,,2004,2000,2004,2000,2004,870,40,,,126,1,,"An American Society of Muslims Masjid, established in 2000.  Folded in 2004.",,,,,,
"Moorish Temple of America #4 (Historic, 1929)",42.65602,-83.3103,632 Livingstone Avenue,,Pontiac,Oakland County,MI,48340,,,,,1929,,,1940,1929,1940,1929,1940,160,110,,,127,1,,,,,,,,
"Moorish Temple of America #4 (Historic, 1929)",42.3952,-83.1616,1023 Illinois Street,,Detroit,Wayne County,MI,48207,,,,,1927,,,,1927,N/A,1927,2019,140,920,,,128,1,"Led by Governor Lomax-Bey; Incorporating members include, Drew Alin,  James Lomax, Johnny Reynolds, Eddie Watts and Sammy Rucke","This was the home and first location the Moorish Science Temple led by Governor Lomax-Bey and was incorporated with the State in September of 1927.  The incorporating members included Drew Alin,  James Lomax, Johnny Reynolds, Eddie Watts and Sammy Rucke, all of whom lived in Chicago at the time.  In 1943 Cyrus Nelson El became the registered agent of the group in Michigan and listed his address as 1569 Garfield.  Several resident agents were named over the years until 2005, when the group briefly changed their name to Reincarnate Temple of Detroit and back to Moorish Science Temple again in 2007.",,,,,,
"Moslem Mosque (Historic, 1921)",42.40923,-83.0898,242 Victor Street,,Highland Park,Wayne County,MI,48203,,,,,1921,,,1927,1921,1927,1927,1927,140,0,,,129,1,Mohammad and Hussein Karoub,"1921-1922, first purpose built mosque in the United States.  Built by Mohammad and Hussein Karoub.  Sold to the city in 1927 and torn down.  See Howell 2007 for more information and a photograph.",,,,,,
Moslem Welfare Society (Historic),42.33429,-83.0405,742 St. Antoine Street,,Detroit,Wayne County,MI,48226,,,,,1922,,,1930,1922,1930,1922,1930,90,80,,,130,1,"President: Mohammed Majid (Satti Majid Muhammad); Incorporating members include, Rev. Majid Mohamed of 22 West Street, NY; Romy Omar - 144 Cottage Grove, Highland Park; Joseph Somaf - 142 Victor Avenue, HP; Hassan Husein - 238 Labelle Ave., HP; Mohamed Ahmed - 144 Cottage Grove, HP; Ahmed Hazmey - 151 Gerald Ave., HP.","President: Mohammed Majid (Satti Majid Muhammad).  This group incorporated in 1922 as a mutual aid society to provide relief for ""distressed members, the visitation of the sick, payment of funeral expenses"" and to aid orphans and the poor in Turkey.  The group was associated with the Red Crescent Association.  First incorporated in Highland Park, the group moved to this address (date not recorded).",,,,,,
Mosque of the Great Kingdom of God (Historic),42.34395,-83.1229,5684 Campbell,,Detroit,Wayne County,MI,48210,,,,,1993,,,2004,1993,2004,1993,2004,800,110,,,131,1,,This group seems to have been organized by and for women.  It dissolved in 2004.,,,,,,
Muhammad's Mosque of Islam #1 (Historic),42.33518,-83.0494,1510 Woodward Avenue,,Detroit,Wayne County,MI,48226,,,,,1980,,,1987,1980,1987,1980,1987,670,70,,,132,1,"Minister Paradise Quran Muhammad, Cleo Boyd, and Jasper Boyd","This group dissolved in 1987.  It's incorporating members included Minister Paradise Quran Muhammad, Cleo Boyd, and Jasper Boyd.",,,,,,
